target_gene,top10_predictors
Q0010,"['Q0017', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
Q0017,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
Q0032,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
Q0045,"['Q0075', 'YML087C', 'YPL201C', 'Q0080', 'Q0055', 'YJR004C', 'YLR345W', 'YLR344W', 'YLR362W', 'YLR361C']"
Q0050,"['Q0160', 'Q0120', 'Q0075', 'Q0065', 'Q0080', 'YPL201C', 'Q0130', 'YDR210W-B', 'YFL014W', 'YOR289W']"
Q0055,"['Q0060', 'Q0070', 'YDR170W-A', 'YGL089C', 'YER138W-A', 'YFL014W', 'Q0010', 'YLR362W', 'YLR361C', 'YLR360W']"
Q0060,"['Q0055', 'Q0065', 'Q0075', 'YOR382W', 'YDR034W-B', 'YGL089C', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C']"
Q0065,"['Q0070', 'Q0130', 'Q0050', 'Q0055', 'Q0060', 'YHR087W', 'YML123C', 'YFL014W', 'YLR357W', 'YLR355C']"
Q0070,"['Q0065', 'Q0055', 'Q0130', 'YPL201C', 'YFL014W', 'YML123C', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W']"
Q0075,"['Q0050', 'Q0080', 'Q0065', 'Q0045', 'Q0060', 'YPL201C', 'Q0130', 'YBR072W', 'YFL014W', 'YNL036W']"
Q0080,"['Q0075', 'Q0050', 'Q0130', 'YML087C', 'YPL201C', 'YBR054W', 'YMR173W-A', 'YOR382W', 'YLR358C', 'YLR353W']"
Q0085,"['Q0050', 'Q0080', 'Q0075', 'Q0055', 'YGL089C', 'YFL014W', 'YDR170W-A', 'YLR355C', 'YLR356W', 'YLR357W']"
Q0092,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
