,DewPt,Humidity,Press,TempC,WindSp,PrecipHr,PrecipCm,season_2,season_3,season_4,WindDir_NW,WindDir_SE,WindDir_cv,target,WindDir_SW
2013-03-05 08:00:00,-6.0,59.0,1019.0,1.0,0.636576829071551,0.0,0.0,False,False,False,False,False,True,4.971547905388209,False
2013-03-05 09:00:00,-8.0,38.0,1019.0,5.0,1.0224509277025458,0.0,0.0,False,False,False,False,False,True,5.035327906686628,False
2013-03-05 10:00:00,-8.0,31.0,1018.0,8.0,1.3001916620664788,0.0,0.0,False,False,False,False,False,True,5.0401940963378005,False
2013-03-05 12:00:00,-9.0,23.0,1017.0,11.0,1.6956156086751528,0.0,0.0,False,False,False,False,False,True,4.903421209789107,False
2013-03-05 13:00:00,-9.0,22.0,1015.0,12.0,1.8468787684491346,0.0,0.0,False,False,False,False,False,True,4.890349128221754,False
2013-03-05 14:00:00,-10.0,19.0,1014.0,13.0,2.0955609235597192,0.0,0.0,False,False,False,False,False,True,5.204006687076795,False
2013-03-05 15:00:00,-9.0,19.0,1013.0,14.0,1.4182774069729414,0.0,0.0,False,False,False,False,True,False,5.302060352826871,False
2013-03-05 16:00:00,-9.0,19.0,1013.0,14.0,1.7783364488959144,0.0,0.0,False,False,False,False,True,False,5.357764825191457,False
2013-03-05 17:00:00,-8.0,23.0,1013.0,12.0,1.0260415958332743,0.0,0.0,False,False,False,False,False,False,5.3315103339038,False
2013-03-05 18:00:00,-7.0,33.0,1013.0,8.0,0.37156355643248307,0.0,0.0,False,False,False,False,False,True,5.316893752120972,False
2013-03-05 19:00:00,-6.0,44.0,1014.0,5.0,0.8501509293696101,0.0,0.0,False,False,False,False,False,True,5.3787446156606515,False
2013-03-05 20:00:00,-7.0,38.0,1014.0,6.0,1.172482137234565,0.0,0.0,False,False,False,False,False,True,5.482720089545816,False
2013-03-05 21:00:00,-6.0,48.0,1014.0,4.0,0.636576829071551,0.0,0.0,False,False,False,True,False,False,5.5254529391317835,False
2013-03-05 22:00:00,-6.0,48.0,1014.0,4.0,0.636576829071551,0.0,0.0,False,False,False,False,False,True,5.538318034928669,False
2013-03-05 23:00:00,-6.0,51.0,1014.0,3.0,1.0224509277025458,0.0,0.0,False,False,False,False,False,True,5.551990122897069,False
2013-03-06 00:00:00,-6.0,55.0,1014.0,2.0,1.4182774069729414,0.0,0.0,False,False,False,True,False,False,5.461710913456472,False
2013-03-06 01:00:00,-6.0,51.0,1014.0,3.0,1.7783364488959144,0.0,0.0,False,False,False,True,False,False,5.311973692995522,False
2013-03-06 02:00:00,-6.0,55.0,1013.0,2.0,2.0425181875752383,0.0,0.0,False,False,False,True,False,False,5.247024072160486,False
2013-03-06 03:00:00,-6.0,55.0,1013.0,2.0,2.3832429960115,0.0,0.0,False,False,False,True,False,False,5.201255653704905,False
2013-03-06 04:00:00,-6.0,55.0,1013.0,2.0,2.6369121732688705,0.0,0.0,False,False,False,True,False,False,5.160491049640633,False
2013-03-06 05:00:00,-6.0,55.0,1013.0,2.0,2.8390784635086144,0.0,0.0,False,False,False,True,False,False,5.188781479479729,False
2013-03-06 06:00:00,-5.0,59.0,1013.0,2.0,3.007166651179654,0.0,0.0,False,False,False,True,False,False,5.2351112906442445,False
2013-03-06 07:00:00,-5.0,55.0,1014.0,3.0,3.188416617383492,0.0,0.0,False,False,False,True,False,False,5.240423388129134,False
2013-03-06 08:00:00,-5.0,51.0,1015.0,4.0,3.3098128198603027,0.0,0.0,False,False,False,True,False,False,5.253581472706645,False
2013-03-06 09:00:00,-6.0,39.0,1015.0,7.0,3.4468078929142076,0.0,0.0,False,False,False,True,False,False,5.104429173382616,False
2013-03-06 10:00:00,-6.0,36.0,1015.0,8.0,3.5672766323546874,0.0,0.0,False,False,False,True,False,False,5.1943447761650585,False
2013-03-06 11:00:00,-6.0,31.0,1014.0,10.0,3.6747805297344347,0.0,0.0,False,False,False,True,False,False,5.224401683597868,False
2013-03-06 12:00:00,-6.0,31.0,1013.0,10.0,3.7718409748282835,0.0,0.0,False,False,False,True,False,False,5.321789722733179,False
2013-03-06 13:00:00,-6.0,31.0,1012.0,10.0,0.636576829071551,0.0,0.0,False,False,False,False,False,True,5.441334873382962,False
2013-03-06 14:00:00,-6.0,27.0,1011.0,12.0,1.0224509277025458,0.0,0.0,False,False,False,False,False,True,5.508375678313591,False
2013-03-06 15:00:00,-6.0,26.0,1011.0,13.0,1.3001916620664788,0.0,0.0,False,False,False,False,False,True,5.503296947234575,False
2013-03-06 16:00:00,-6.0,24.0,1011.0,14.0,1.5173226235262947,0.0,0.0,False,False,False,False,False,True,5.495116942522644,False
2013-03-06 17:00:00,-5.0,28.0,1011.0,13.0,1.6956156086751528,0.0,0.0,False,False,False,False,False,True,5.497168225293202,False
2013-03-06 19:00:00,-4.0,48.0,1012.0,6.0,2.0955609235597192,0.0,0.0,False,False,False,False,False,True,5.5053315359323625,False
2013-03-06 20:00:00,-3.0,56.0,1013.0,5.0,2.199444334074532,0.0,0.0,False,False,False,False,False,True,5.514436302925282,False
2013-03-06 21:00:00,-3.0,56.0,1014.0,5.0,2.2935443483418965,0.0,0.0,False,False,False,False,False,True,5.4961431098779565,False
2013-03-06 22:00:00,-3.0,60.0,1013.0,4.0,2.379546134130174,0.0,0.0,False,False,False,False,False,True,5.487904134333403,False
2013-03-06 23:00:00,-4.0,69.0,1013.0,1.0,2.458733775483977,0.0,0.0,False,False,False,False,False,True,5.484796933490655,False
2013-03-07 00:00:00,-3.0,69.0,1013.0,2.0,0.636576829071551,0.0,0.0,False,False,False,False,True,False,5.474369310328396,False
2013-03-07 01:00:00,-4.0,80.0,1013.0,-1.0,1.0260415958332743,0.0,0.0,False,False,False,False,False,False,5.488937726156687,False
2013-03-07 02:00:00,-4.0,80.0,1013.0,-1.0,0.636576829071551,0.0,0.0,False,False,False,True,False,False,5.508375678313591,False
2013-03-07 03:00:00,-4.0,80.0,1012.0,-1.0,1.0224509277025458,0.0,0.0,False,False,False,True,False,False,5.614951260949585,False
2013-03-07 04:00:00,-5.0,86.0,1012.0,-3.0,1.5195132049061133,0.0,0.0,False,False,False,True,False,False,5.724401761858937,False
2013-03-07 05:00:00,-5.0,79.0,1012.0,-2.0,0.37156355643248307,0.0,0.0,False,False,False,False,False,True,5.751778672924456,False
2013-03-07 06:00:00,-5.0,79.0,1012.0,-2.0,0.636576829071551,0.0,0.0,False,False,False,False,False,False,5.776103136235827,False
2013-03-07 07:00:00,-3.0,86.0,1012.0,-1.0,0.37156355643248307,0.0,0.0,False,False,False,False,False,True,5.759690106594497,False
2013-03-07 08:00:00,-1.0,80.0,1012.0,2.0,0.636576829071551,0.0,0.0,False,False,False,False,True,False,5.740596447778917,False
2013-03-07 09:00:00,-2.0,52.0,1013.0,7.0,0.636576829071551,0.0,0.0,False,False,False,False,False,True,5.654242029096065,False
2013-03-07 10:00:00,-2.0,49.0,1012.0,8.0,1.0224509277025458,0.0,0.0,False,False,False,False,False,True,5.60947179518496,False
2013-03-07 11:00:00,-2.0,35.0,1010.0,13.0,1.0260415958332743,0.0,0.0,False,False,False,False,True,False,5.7791991139409555,False
2013-03-07 12:00:00,-3.0,30.0,1009.0,14.0,1.7783364488959144,0.0,0.0,False,False,False,False,True,False,5.850044981634453,False
2013-03-07 13:00:00,-3.0,25.0,1007.0,17.0,2.2965670206684825,0.0,0.0,False,False,False,False,True,False,5.750188847470357,False
2013-03-07 14:00:00,-5.0,20.0,1006.0,18.0,1.4182774069729414,0.0,0.0,False,False,False,False,False,True,5.722767774567282,False
2013-03-07 15:00:00,-4.0,22.0,1004.0,18.0,1.4182774069729414,0.0,0.0,False,False,False,False,True,False,5.4712197014254995,False
2013-03-07 16:00:00,-4.0,20.0,1003.0,19.0,1.0260415958332743,0.0,0.0,False,False,False,False,False,True,5.27556037942542,False
2013-03-07 17:00:00,-1.0,31.0,1002.0,16.0,1.0260415958332743,0.0,0.0,False,False,False,False,True,False,5.279389356662517,False
2013-03-07 19:00:00,0.0,46.0,1003.0,11.0,1.0260415958332743,0.0,0.0,False,False,False,False,False,False,5.341137363730965,False
2013-03-07 20:00:00,0.0,56.0,1003.0,8.0,1.5216989981260935,0.0,0.0,False,False,False,False,False,False,5.707110264748875,False
2013-03-07 21:00:00,0.0,53.0,1003.0,9.0,0.636576829071551,0.0,0.0,False,False,False,False,False,True,6.10367653771491,False
2013-03-07 22:00:00,-1.0,60.0,1003.0,6.0,1.0260415958332743,0.0,0.0,False,False,False,True,False,False,6.189802979503221,False
2013-03-07 23:00:00,0.0,60.0,1004.0,7.0,0.37156355643248307,0.0,0.0,False,False,False,False,False,True,6.178462651785838,False
2013-03-08 00:00:00,-1.0,65.0,1003.0,5.0,0.636576829071551,0.0,0.0,False,False,False,True,False,False,6.065527875408039,False
2013-03-08 01:00:00,-2.0,64.0,1004.0,4.0,1.3029127521808397,0.0,0.0,False,False,False,True,False,False,5.948687517751924,False
2013-03-08 02:00:00,-2.0,64.0,1004.0,4.0,1.918392120161421,0.0,0.0,False,False,False,True,False,False,5.86434115077879,False
2013-03-08 03:00:00,-2.0,69.0,1003.0,3.0,2.2965670206684825,0.0,0.0,False,False,False,True,False,False,5.8118892159820525,False
2013-03-08 04:00:00,-2.0,74.0,1004.0,2.0,0.37156355643248307,0.0,0.0,False,False,False,False,False,True,5.781514823196553,False
2013-03-08 05:00:00,-2.0,74.0,1004.0,2.0,0.8501509293696101,0.0,0.0,False,False,False,False,False,True,5.631211781821365,False
2013-03-08 06:00:00,-3.0,80.0,1005.0,0.0,1.172482137234565,0.0,0.0,False,False,False,False,False,True,5.4961431098779565,False
2013-03-08 07:00:00,-4.0,74.0,1005.0,0.0,1.4182774069729414,0.0,0.0,False,False,False,False,False,False,5.460648778465489,False
2013-03-08 08:00:00,0.0,60.0,1006.0,7.0,0.636576829071551,0.0,0.0,False,False,False,False,False,True,5.720311776607412,False
2013-03-08 10:00:00,-2.0,33.0,1007.0,14.0,1.0260415958332743,0.0,0.0,False,False,False,False,True,False,5.087596335232384,False
2013-03-08 11:00:00,-5.0,18.0,1006.0,20.0,1.7783364488959144,0.0,0.0,False,False,False,False,True,False,4.675162557808126,False
2013-03-08 12:00:00,-6.0,15.0,1006.0,21.0,2.2965670206684825,0.0,0.0,False,False,False,False,True,False,5.2457074162757396,False
2013-03-08 13:00:00,0.0,29.0,1005.0,18.0,2.8384934971274993,0.0,0.0,False,False,False,False,True,False,5.795297583491974,False
